"Story","Title","Result","Date","Stability","Duration (s)"
"Start sesion on the EUNO platform.","wrong email and password","SUCCESS","2020-05-08T07:04:15.615-05:00[America/Bogota]","0.0","15.82"
"Registration on the EUNO platform.","Registration on with non-corporate mail the platform","SUCCESS","2020-05-08T07:04:38.575-05:00[America/Bogota]","0.0","13.63"
