"Story","Title","Result","Date","Stability","Duration (s)"
"Start sesion on the EUNO platform.","wrong email and password","SUCCESS","2020-05-08T07:25:21.399-05:00[America/Bogota]","0.0","20.63"
"Registration on the EUNO platform.","Registration on with non-corporate mail the platform","SUCCESS","2020-05-08T07:25:50.396-05:00[America/Bogota]","0.0","24.31"
